Rozmiar,Sredni_Czas,Max,Min,Procent_Bledow,
35,61,1782,20,0,
Lp,Rozmiar,Czas,Data,Blad,
1,35,1782,2026-06-04 16:10:31,1,
2,35,25,2026-06-04 16:10:31,1,
3,35,21,2026-06-04 16:10:31,1,
4,35,42,2026-06-04 16:10:31,1,
5,35,24,2026-06-04 16:10:31,1,
6,35,20,2026-06-04 16:10:31,1,
7,35,27,2026-06-04 16:10:31,1,
8,35,38,2026-06-04 16:10:31,1,
9,35,21,2026-06-04 16:10:31,1,
10,35,20,2026-06-04 16:10:31,1,
11,35,42,2026-06-04 16:10:31,1,
12,35,23,2026-06-04 16:10:31,1,
13,35,20,2026-06-04 16:10:31,1,
14,35,38,2026-06-04 16:10:31,1,
15,35,20,2026-06-04 16:10:31,1,
16,35,20,2026-06-04 16:10:31,1,
17,35,20,2026-06-04 16:10:31,1,
18,35,33,2026-06-04 16:10:31,1,
19,35,29,2026-06-04 16:10:31,1,
20,35,26,2026-06-04 16:10:31,1,
21,35,34,2026-06-04 16:10:31,1,
22,35,20,2026-06-04 16:10:31,1,
23,35,25,2026-06-04 16:10:31,1,
24,35,27,2026-06-04 16:10:31,1,
25,35,20,2026-06-04 16:10:31,1,
26,35,20,2026-06-04 16:10:31,1,
27,35,20,2026-06-04 16:10:31,1,
28,35,28,2026-06-04 16:10:31,1,
29,35,25,2026-06-04 16:10:31,1,
30,35,22,2026-06-04 16:10:31,1,
31,35,29,2026-06-04 16:10:31,1,
32,35,21,2026-06-04 16:10:31,1,
33,35,20,2026-06-04 16:10:31,1,
34,35,32,2026-06-04 16:10:31,1,
35,35,29,2026-06-04 16:10:31,1,
36,35,21,2026-06-04 16:10:31,1,
37,35,25,2026-06-04 16:10:31,1,
38,35,31,2026-06-04 16:10:31,1,
39,35,20,2026-06-04 16:10:31,1,
40,35,20,2026-06-04 16:10:31,1,
41,35,21,2026-06-04 16:10:31,1,
42,35,20,2026-06-04 16:10:31,1,
43,35,36,2026-06-04 16:10:31,1,
44,35,32,2026-06-04 16:10:31,1,
45,35,23,2026-06-04 16:10:31,1,
46,35,34,2026-06-04 16:10:31,1,
47,35,21,2026-06-04 16:10:31,1,
48,35,27,2026-06-04 16:10:31,1,
49,35,21,2026-06-04 16:10:31,1,
50,35,34,2026-06-04 16:10:31,1,
